title,datetime,location_name,address,description,category,source_url,source_site
A Ceremony of Carols,2025-11-29T19:00,The Theater of the Performing Arts,"359 Washington Street, Hartford, CT 06106","A new Christmas tradition, featuring the world premiere of Notte di Natale choreographed by Claire Kretzschmar.",Performing & Visual Arts,https://www.eventbrite.com/e/a-ceremony-of-carols-tickets-1530879404509,Eventbrite
CTData Conference 2025,2025-12-03T09:00,Hartford Marriott Downtown,"200 Columbus Boulevard, Hartford, CT 06103",CTData is back with another conference for data lovers! Join us to connect with other data folks & learn from others. All sales final!,Business & Professional,https://www.eventbrite.com/e/ctdata-conference-2025-tickets-1408816099879,Eventbrite
Nature and Humanity in 1904,2025-11-20T19:30,Woolsey Hall,"500 College Street, New Haven, CT 06511","with William Boughton, Guest Conductor. Featuring Brandon Du, Violin",Performing & Visual Arts,https://www.eventbrite.com/e/nature-and-humanity-in-1904-tickets-1488892620909,Eventbrite
ROAMER With Special Guests: Stephen Peter Rodgers & Ian Biggs,2025-11-14T19:30,Bijou Theatre,"275 Fairfield Ave, Bridgeport, CT 06604",'The American Condition' : Album Release Concert,Music,https://www.eventbrite.com/e/roamer-with-special-guests-stephen-peter-rodgers-ian-biggs-tickets-1447320427359,Eventbrite
ETERNA-Together We Rise Gala,2025-11-13T18:00,The Waters Edge at Giovanni's,"2748 Boston Post Road #Suite B, Darien, CT 06820","Join us for an evening of elegance, celebration, and community. This masquerade gala will also feature a special announcement.",Business & Professional,https://www.eventbrite.com/e/eterna-together-we-rise-gala-tickets-1729064461349,Eventbrite
Two Coyotes 25th Anniversary Gathering & Fundraiser,2025-11-15T15:00,101 Paper Mill Rd,"101 Paper Mill Road, Killingworth, CT 06419","25 years of growing wild & wise in nature! Join us for a day of connection, storytelling & play, plus an evening of music, dinner & dancing.",Charity & Causes,https://www.eventbrite.com/e/two-coyotes-25th-anniversary-gathering-fundraiser-tickets-1758191129999,Eventbrite
Barrels for a Cause,2025-11-13T18:00,Stappa Vineyard,"403 Derby Avenue, Orange, CT 06477",Join us for our  3nd annual Barrels for a Cause fundraising event! Benefiting the Beth-El Center and Rape Crisis Center of Milford,Food & Drink,https://www.eventbrite.com/e/barrels-for-a-cause-tickets-1765987178189,Eventbrite
Chamber Singers and University Singers,2025-11-23T15:00,"Veronica Hagman Concert Hall, VPAC","43 Lake Avenue Extension, Danbury, CT 06810",Chamber Singers and University Singers,Music,https://www.eventbrite.com/e/chamber-singers-and-university-singers-tickets-1556785821299,Eventbrite
Ali Siddiq: In The Shadows,2025-12-12T19:00,College Street Music Hall,"238 College Street, New Haven, CT 06510",‎,Performing & Visual Arts,https://www.eventbrite.com/e/ali-siddiq-in-the-shadows-tickets-1388233215919,Eventbrite
Meet The Ringmaster,2025-11-18T18:00,Vazzano's Four Seasons,"337 Kenyon St, Stratford, CT 06614","Come spend an evening at Vazzano's Four Seasons for their famous pasta dinner, and get to know 2026 Ringmaster, Tom McCarthy!",Performing & Visual Arts,https://www.eventbrite.com/e/meet-the-ringmaster-tickets-1711785539629,Eventbrite
Pinkshift: The Earthkeeper Tour,2025-11-14T20:00,Space Ballroom,"295 Treadwell Street, Hamden, CT 06514","with LustSickPuppy, Combat",Music,https://www.eventbrite.com/e/pinkshift-the-earthkeeper-tour-tickets-1412515494869,Eventbrite
Champagne On The Runway,2025-11-23T16:00,2 Research Dr,"2 Research Drive, Shelton, CT 06484","Get ready for an unforgettable night of luxury, fashion, and island vibes at Champagne on the Runway!",Music,https://www.eventbrite.com/e/champagne-on-the-runway-tickets-1538092368679,Eventbrite
Orchestra and Concert Chorale,2025-11-15T15:00,Veronica Hagman Concert Hall,"43 Lake Avenue Extension, Danbury, CT 06810",Orchestra and Concert Chorale,Music,https://www.eventbrite.com/e/orchestra-and-concert-chorale-tickets-1552141219169,Eventbrite
Fairfield Center Stage presents  ANNIE -- Sun  Nov 23 @ 4pm,2025-11-23T16:00,First Church Congregational,"148 Beach Road, Fairfield, CT 06824","Local community theater group Fairfield Center Stage presents the  classic musical ANNIE, featuring a cast of adults & children, Nov 14-30",Performing & Visual Arts,https://www.eventbrite.com/e/fairfield-center-stage-presents-annie-sun-nov-23-4pm-tickets-1739976820509,Eventbrite
Crossing Thresholds Annual Fall Benefit,2025-11-16T12:00,Woodway Country Club,"540 Hoyt Street, Darien, CT 06820","Join us for our Benefit: ""Save One Child, Save the World,"" an inspiring event showcasing our mission to save the world one child at a time.",Charity & Causes,https://www.eventbrite.com/e/crossing-thresholds-annual-fall-benefit-tickets-1515965566819,Eventbrite
Internal Bleeding,2025-11-16T20:00,Space Ballroom,"295 Treadwell Street, Hamden, CT 06514","with Final Resting Place, Wretched Inferno",Music,https://www.eventbrite.com/e/internal-bleeding-tickets-1740901536359,Eventbrite
We Brunch On Sundays,2025-11-16T14:00,Terminal 110,"240 Sargent Drive, New Haven, CT 06511","CT’s hottest brunch series from March - December bring you food, live entertainment and elite day party vibes !",Food & Drink,https://www.eventbrite.com/e/we-brunch-on-sundays-tickets-1716922955779,Eventbrite
