title,datetime,location_name,address,description,category,source_url,source_site
The Heavy Heavy,2025-12-13T20:00,Space Ballroom,"295 Treadwell Street, Hamden, CT 06514",with Laney Jones and the Spirits,Music,https://www.eventbrite.com/e/the-heavy-heavy-tickets-1685374393179,Eventbrite
CT Preservation Action Annual Meeting,2025-11-18T15:00,The Elm City Club,"155 Elm Street, New Haven, CT 06511","Join us as we review key accomplishments, conduct essential business, and discuss priorities for the upcoming legislative sessions.",Community & Culture,https://www.eventbrite.com/e/ct-preservation-action-annual-meeting-tickets-1962430159434,Eventbrite
EMO Night: Black Friday Parade,2025-11-28T21:00,Strange Brew Pub,"86 Water Street, Norwich, CT 06360","Team Cat Events presents EMO Night: Black Friday Parade at Strange Brew Pub in Norwich, CT on Friday 11.28.25!",Music,https://www.eventbrite.com/e/emo-night-black-friday-parade-tickets-1775170816699,Eventbrite
Making Sense of Numbers: Analyze Quantitative Data (New Haven),2025-11-20T09:30,United Way of Greater New Haven,"370 James Street #403, New Haven, CT 06513",Confidently analyze and interpret numerical data to gain insights and make data-driven decisions.,Business & Professional,https://www.eventbrite.com/e/making-sense-of-numbers-analyze-quantitative-data-new-haven-tickets-1657708884899,Eventbrite
Holiday Cookie Decorating Class,2025-12-11T18:00,"Taylor Brooke Winery, Connecticut 171, Woodstock, CT, USA","818 Connecticut 171, Woodstock, CT 06281","Learn to decorate beautiful sugar cookies, and enjoy a delicious glass of wine from Taylor Brooke Winery while you work!",Food & Drink,https://www.eventbrite.com/e/holiday-cookie-decorating-class-tickets-1542481506709,Eventbrite
HOW TO BE A FESTIVE SOUL w/ DUSTIN PARI,2025-11-20T18:00,Torrington Library,"12 Daycoeton Place, Torrington, CT 06790","The title says it all! If you are struggling with the holiday blues and are looking for a little yuletide boost, this is the lecture for you",Religion & Spirituality,https://www.eventbrite.com/e/how-to-be-a-festive-soul-w-dustin-pari-tickets-1097352925139,Eventbrite
Tech and Business Networking | Elevating Your Potential - Hartford,2025-11-19T18:00,Black-Eyed Sally's Southern Kitchen & Bar,"350 Asylum Street, Hartford, CT 06103","Strive welcomes you to 'Tech and Business Networking', an event for tenured and newcomers at Sally's! Event is 21+. Limited Tickets.",Business & Professional,https://www.eventbrite.com/e/tech-and-business-networking-elevating-your-potential-hartford-tickets-1478703314419,Eventbrite
Modern Refuge / Xavier Serrano,2025-11-15T19:00,Small Batch Cellars,"37 Nettleton Avenue, North Haven, CT 06473",Join us is welcoming Modern Refuge & Xavier Serrano to Small Batch Cellars,Music,https://www.eventbrite.com/e/modern-refuge-xavier-serrano-tickets-1730707886879,Eventbrite
✨ An Evening of Spirit & Gratitude with Spiritual Medium Terry Marotta ✨,2025-11-20T18:30,Designs By Lee Inc,"129 Interlaken Road, Stamford, CT 06903",Get ready for an unforgettable evening filled with connections to the other side with Spiritual Medium Terry Marotta!,Religion & Spirituality,https://www.eventbrite.com/e/an-evening-of-spirit-gratitude-with-spiritual-medium-terry-marotta-tickets-1743936654479,Eventbrite
BLACK FRIDAY AFFAIR,2025-11-28T18:00,The Cellar on Treadwell,"295 Treadwell Street #building h, Hamden, CT 06514",Full Blast Booking presents: the BLACK FRIDAY AFFAIR ft the hottest indie artists in the region!,Charity & Causes,https://www.eventbrite.com/e/black-friday-affair-tickets-1680079305429,Eventbrite
Mystic Dead- Grateful For (Day Before Thanksgiving),2025-11-26T19:00,Small Batch Cellars,"37 Nettleton Avenue, North Haven, CT 06473",Good Ol’ Grateful Dead music played by some of Connecticut finest.,Music,https://www.eventbrite.com/e/mystic-dead-grateful-for-day-before-thanksgiving-tickets-1684607389049,Eventbrite
Malie Donn Hartford,2025-12-07T17:00,United Banquet Hall,"2964 Main Street, Hartford, CT 06120",Malie Donn Performing Live,Performing & Visual Arts,https://www.eventbrite.com/e/malie-donn-hartford-tickets-1685828822389,Eventbrite
Board Game Speed Dating - Lyman Orchards - Middlefield CT (Ages 25-39),2025-11-15T18:00,1741 Pub and Grill,"72 Lyman Road, Middlefield, CT 06455",Finding someone can be painful. But board games are always awesome. So what if you combined board games and searching for a partner?,Hobbies & Special Interest,https://www.eventbrite.com/e/board-game-speed-dating-lyman-orchards-middlefield-ct-ages-25-39-tickets-1766805896999,Eventbrite
"Speed Dating Ages 25-35 in Wallingford, CT at Paradise Hills Vineyard",2025-11-26T17:30,Paradise Hills Vineyard & Winery,"15 Windswept Hill Road, Wallingford, CT 06492","Ready to meet local singles face-to-face? Join us for a fun, low-pressure evening of meaningful connections!",Community & Culture,https://www.eventbrite.com/e/speed-dating-ages-25-35-in-wallingford-ct-at-paradise-hills-vineyard-tickets-1895593243419,Eventbrite
General Business Networking | Elevating Your Potential - Hartford,2025-11-19T18:00,Black-Eyed Sally's Southern Kitchen & Bar,"350 Asylum Street, Hartford, CT 06103","Strive welcomes you to 'General Business Networking',an event for tenured and newcomers at Sally's! Event is 21+. Limited Tickets.",Business & Professional,https://www.eventbrite.com/e/general-business-networking-elevating-your-potential-hartford-tickets-1478822310339,Eventbrite
Fairfield Center Stage presents  ANNIE -Thur Nov13 @7pm PREVIEW- ALL tix$20,2025-11-13T19:00,First Church Congregational,"148 Beach Road, Fairfield, CT 06824","Local community theater group Fairfield Center Stage presents the  classic musical ANNIE, featuring a cast of adults & children, Nov 14-30",Performing & Visual Arts,https://www.eventbrite.com/e/fairfield-center-stage-presents-annie-thur-nov13-7pm-preview-all-tix20-tickets-1740488500959,Eventbrite
Swiftie Experience,2025-11-23T10:00,Bijou Theatre,"275 Fairfield Ave, Bridgeport, CT 06604",✨ Calling all Swifties! ✨,Music,https://www.eventbrite.com/e/swiftie-experience-tickets-1549745593789,Eventbrite
CE CLASS - Code of Ethics w/ Liz Doll 11/18 @ 1 PM - 4 PM,2025-11-18T13:00,Hilliard Mills,"640-642 Hilliard Street, Manchester, CT 06042",Learn all about Code of Ethics w/ Liz Doll 11/18 @ 1 PM - 4 PM - don't miss it!,Business & Professional,https://www.eventbrite.com/e/ce-class-code-of-ethics-w-liz-doll-1118-1-pm-4-pm-tickets-1505254519789,Eventbrite
Danceland,2025-12-20T15:00,84 Iranistan Ave,"84 Iranistan Avenue, Bridgeport, CT 06604",The Stage is set. The dancers are ready. Are you? DANCELAND 2025 by Rising Starz Dance Studio! It is going down Dec 20th. Food will be sold.,Performing & Visual Arts,https://www.eventbrite.com/e/danceland-tickets-1722528712749,Eventbrite
For The Culture Sneaker Convention,2025-12-06T12:00,Insports Centers,"29 Trefoil Drive, Trumbull, CT 06611","Welcome to the For The Culture Sneaker Convention!  Hundreds of people buying, selling, and trading sneakers, clothing, and more!",Other,https://www.eventbrite.com/e/for-the-culture-sneaker-convention-tickets-1730970121229,Eventbrite
Pressed Flower Class,2025-11-20T18:00,Connecticut Valley Brewing Company,"765 Sullivan Avenue, South Windsor, CT 06074","Learn how to press flowers to make lasting art. Create
beautiful one of a kind ornaments using the natural colors
from nature.",Hobbies & Special Interest,https://www.eventbrite.com/e/pressed-flower-class-tickets-1754345577849,Eventbrite
"Southington, CT - Little Mania Mini Wrestling @Cadillac Ranch",2025-12-11T20:00,45 Jude Ln,"45 Jude Lane, Southington, CT 06489","""The Shortest Fight of them All!"" Little People Flying Fists  Match Trash Can Slams Cheese Graters Slap Ladder Dives OH MY GOD tiny hands",Performing & Visual Arts,https://www.eventbrite.com/e/southington-ct-little-mania-mini-wrestling-cadillac-ranch-tickets-1737367104779,Eventbrite
"The Comedy Lounge at Sage and Salt - Friday, November 14,  2025",2025-11-14T20:00,Sage and Salt,"26 Commons Drive, Litchfield, CT 06759",Enjoy a night of laughs at Litchfield’s Sage and Salt with some of the country’s best comics!,Performing & Visual Arts,https://www.eventbrite.com/e/the-comedy-lounge-at-sage-and-salt-friday-november-14-2025-tickets-1810905871209,Eventbrite
2025 Christmas Market: Champagne Preview Party,2025-11-20T18:00,Trinity Church on the Green,"230 Temple Street, New Haven, CT 06511","Come mingle, nibble, and shop early!",Charity & Causes,https://www.eventbrite.com/e/2025-christmas-market-champagne-preview-party-tickets-1501902704419,Eventbrite
PUFF N PAINT,2025-11-19T18:00,Elicit Brewing Co - Manchester,"165 Adams Street, Manchester, CT 06042",Join us for a chill night of puffing on some good stuff and getting creative with paint - it's gonna be lit!,Performing & Visual Arts,https://www.eventbrite.com/e/puff-n-paint-tickets-1866145915669,Eventbrite
Christmas Cookie Decorating @ Dockside Brewery,2025-12-01T18:30,Dockside Brewery,"40 Bridgeport Avenue, Milford, CT 06460",Get into the holiday spirit with a step-by-step Christmas cookie decorating class led by NM Sweets!,Seasonal & Holiday,https://www.eventbrite.com/e/christmas-cookie-decorating-dockside-brewery-tickets-1954149526839,Eventbrite
"Speed Dating Ages 40s-50s in Redding, CT at Milestone",2025-11-18T19:00,Milestone,"2 Main Street, Redding, CT 06896","Ready to meet local singles face-to-face? Join us for a fun, low-pressure evening of meaningful connections!",Community & Culture,https://www.eventbrite.com/e/speed-dating-ages-40s-50s-in-redding-ct-at-milestone-tickets-1839571159859,Eventbrite
Silverman's Farm Apple Picking,2025-11-15T14:00,Silverman's Farm,"451 Sport Hill Road, Easton, CT 06612","Join us for a fun-filled day at Silverman’s Farm, where adventure and nature come together! Meet friendly animals at the petting zoo, enjoy",Uncategorized,https://www.eventbrite.com/e/silvermans-farm-apple-picking-tickets-1965423140521,Eventbrite
TEDxProspect Hill 2025 - WHAT IF?,2025-12-14T16:00,The Foote School,"50 Loomis Place, New Haven, CT 06511","TEDxProspect Hill explores “What If?”—bringing New Haven voices together to spark dialogue, amplify ideas & reimagine systems.",Community & Culture,https://www.eventbrite.com/e/tedxprospect-hill-2025-what-if-tickets-1754118689219,Eventbrite
"Speed Dating Ages 50s in Derby, CT at Tipsy Tomato",2025-11-20T18:00,Tipsy Tomato Bar and Pizzeria,"656 New Haven Avenue, Derby, CT 06418","Ready to meet local singles face-to-face? Join us for a fun, low-pressure evening of meaningful connections!",Community & Culture,https://www.eventbrite.com/e/speed-dating-ages-50s-in-derby-ct-at-tipsy-tomato-tickets-1839839592749,Eventbrite
CRUSH DAVE MATTHEWS TRIBUTE,2025-11-15T20:30,Cast Iron Chef Pizza & Bar Seymour,"15 Klarides Village Drive, Seymour, CT 06483",Come join us for a night of rocking out to the music of Dave Matthews.,Performing & Visual Arts,https://www.eventbrite.com/e/crush-dave-matthews-tribute-tickets-1618832584839,Eventbrite
Kocky Ka Live,2025-11-26T22:00,203 Lounge,"9 Phoenix Avenue, Waterbury, CT 06702",Wednesday Nov 26TH  We celebrate thanksgiving eve with live performances by kocky ka Music powered by DJ perfect,Music,https://www.eventbrite.com/e/kocky-ka-live-tickets-1947074435049,Eventbrite
Mexican Cultural Celebration: Inauguration of Savings and Credit Coop.,2025-11-15T03:00,Whitneyville Cultural Commons,"1253 Whitney Avenue, Hamden, CT 06517",¡Celebra con nosotros la inauguración de nuestra Cooperativa de Ahorro y Crédito en la Feria Mexicana!,Community & Culture,https://www.eventbrite.com/e/mexican-cultural-celebration-inauguration-of-savings-and-credit-coop-tickets-1461877016509,Eventbrite
Steve Nelson Quartet,2025-11-14T20:00,The Side Door ,"85 Lyme St, Old Lyme, CT 06371",Join us for a special night of jazz with Vibraphonist Steve Nelson and his Quartet!,Music,https://www.eventbrite.com/e/steve-nelson-quartet-tickets-1744004788269,Eventbrite
